word1	word2	pmi
nationalversammlung	rentenreform	8.586166062703187
1,4	liter	5.756372424728496
neun	kilometer	3.8350033845893
alter	79	5.156797804074334
vorjahreszeitraum	milliarden	3.9789444109820247
applaus	publikum	3.996834940744841
bericht	regierung	1.884410467869581
cent	vortag	5.297630921804873
gemeinschaftswährung	marke	4.9967123887272615
vergleich	vorjahreszeitraum	5.3298568352558
wettkampf	jahre	3.548807698466177
fußball	frauen	1.7885445781315332
ausstellung	18	2.070593952877154
entscheidung	stimmen	1.7931805068244566
rest	herstellung	3.82674316127732
ausstellung	21	2.583050898375229
ausstellung	28	2.8268137368921744
ausstellung	30	1.9042924552673832
zoll	230.000	7.669875330829031
schluss	studie	3.1793947557872846
herr	zahlen	2.520389482630653
ausstellung	10	1.8538276613414741
revision	erfolg	2.8095093698520612
inhalt	datenbank	3.5507220187421704
menschen	kinder	-0.4513790188892815
polizei	zwei	-0.390822581366263
0,71	prozent	4.2603791463521805
1,3	millionen	3.794300780917717
angebot	ende	0.5049487346001352
schwerverletzte	rettungshubschrauber	7.418560902548125
12	mitgliedern	3.1357409179576914
17	verdächtige	3.9348452474767757
200	punkte	1.5900729059703216
entscheidung	wochenende	1.849594596104548
fünf	soldaten	1.9285218546942187
fahrer	promille	4.121730017712699
kritik	finanzpolitik	5.319180577264458
chef		2.7829423424673396
abfallgesamtzeit	abfallzeit	12.611517753438335
jahr	haus	0.6512433497871777
89	tod	4.217622778366591
haus	uhr	-0.00735304756679463
arbeitslosenquote	punkte	3.357734823619316
altersgrenze	jahren	4.893721542424753
änderung	2001	3.5579481574121017
neuverschuldung	schritt	5.198452031378318
anklage	misshandlung	7.199871701583295
schwerpunkt	werken	4.651194124289495
reden	seite	2.91149368144959
demoskopen	kopf	7.83660479286315
regel	medikamente	3.8739849380406226
außenring	legierung	11.69522702156418
veranstalter	besucherzahlen	5.353105602843029
schaden	2000	2.840008514464326
300	menschen	2.0080253380877826
nebenwirkungen	arzt	4.9315730865563
400	teilnehmer	3.2008522002286233
79	jahren	3.795109253756644
dach	hauses	4.810126433146849
vorjahresperiode	prozent	3.0076161778568125
tageshöchstwerte	22	6.26588139260974
spass	freude	4.845948672341019
kampf	klassenerhalt	4.679873731984025
%	zähler	2.5390894356023135
18	polizei	0.14654259763434002
150	beamten	3.244558322020571
bergtour	alpen	9.027998814982226
hörspiel	film	5.668395330618907
angebot	organisationen	3.4445025062005263
minute	führung	4.051073520027783
2	seiten	0.7652105367653357
ergebnis	cents	3.6839824768344296
15	menschen	0.7061296810147699
232	punkte	5.59132704512641
mittel	hilfe	2.187987188086608
zwei	räume	1.5793198810768183
börse	ausblick	3.613751981427128
2002	prozent	0.28069749245021985
fehlbetrag	millionen	4.42653920839067
19	kandidaten	3.1848167824447753
opposition	wahlen	3.83226803720929
geld	verfügung	1.1880940365865988
leben	zeit	-0.14657620054721482
quartal	umsatz	2.914009406046837
150	verfügung	2.6162717756626668
10	welt	0.5941389244931459
börsenbarometer	prozent	3.9980148818846897
arbeitslosenrate	prozent	4.037235595037971
900	millionen	3.6380818480263994
4,8	millionen	4.054975651958187
zwei	cd	0.8266585729844652
land	wirtschaftskrise	3.0398731691397582
fragen	anmeldungen	3.1590158243121813
projekt	institutionen	3.784489684929184
header	atom	8.62253370687406
darstellung	ergebnisse	2.992517382457469
gewerkschaften	landes	3.6589123775459815
14	jahren	2.2623467089815117
